2,Capteur,140m,noir
2,Batterie,69%
2,Moteur,253W
2,Capteur,324m,rouge
2,Moteur,119W
2,Capteur,517m,rouge
2,Moteur,198W
2,Capteur,996m,rouge
2,Moteur,41W
5,Batterie,79%
6,Batterie,67%
3,Capteur,991m,rouge
3,Capteur,777m,noir
4,Moteur,83W
3,Capteur,409m,jaune
6,Batterie,61%
5,Batterie,56%
6,Moteur,111W
8,Moteur,247W
3,Batterie,1%
3,Batterie,3%
3,Moteur,113W
4,Capteur,786m,noir
6,Capteur,876m,jaune
7,Batterie,61%
8,Moteur,261W
5,Batterie,98%
3,Batterie,46%
6,Batterie,94%
6,Moteur,187W
5,Capteur,77m,noir
7,Batterie,79%
5,Batterie,71%
8,Moteur,43W
5,Capteur,175m,jaune
8,Capteur,134m,noir
5,Capteur,510m,noir
6,Batterie,84%
6,Moteur,34W
8,Batterie,0%
3,Batterie,29%
4,Batterie,80%
4,Moteur,85W
6,Batterie,81%
3,Capteur,176m,noir
7,Moteur,296W
5,Moteur,176W
8,Capteur,562m,jaune
7,Batterie,14%
6,Capteur,378m,rouge
5,Batterie,80%
3,Batterie,29%
6,Batterie,40%
4,Capteur,804m,noir
3,Moteur,262W
5,Batterie,13%
7,Moteur,275W
7,Batterie,27%
3,Moteur,66W
6,Moteur,48W
4,Moteur,219W
8,Capteur,764m,rouge
3,Capteur,810m,rouge
3,Moteur,123W
6,Moteur,96W
4,Capteur,257m,rouge
5,Moteur,207W
5,Capteur,475m,noir
7,Moteur,167W
6,Moteur,53W
3,Moteur,153W
5,Moteur,84W
6,Capteur,555m,noir
4,Batterie,63%
3,Capteur,626m,jaune
5,Capteur,866m,rouge
7,Moteur,158W
4,Capteur,753m,rouge
8,Moteur,93W
5,Batterie,12%
7,Batterie,3%
3,Moteur,213W
7,Batterie,19%
3,Batterie,68%
3,Moteur,112W
8,Moteur,106W
6,Moteur,196W
3,Capteur,368m,jaune
8,Capteur,531m,noir
4,Capteur,34m,noir
8,Moteur,53W
3,Batterie,12%
8,Capteur,401m,rouge
4,Batterie,33%
5,Capteur,785m,noir
8,Batterie,36%
4,Moteur,115W
7,Capteur,860m,rouge
3,Moteur,53W
4,Moteur,93W
7,Capteur,587m,jaune
8,Capteur,513m,jaune
3,Capteur,518m,jaune
6,Batterie,98%
3,Moteur,154W
4,Capteur,408m,noir
4,Batterie,47%
5,Moteur,44W
6,Batterie,79%
7,Batterie,1%
6,Moteur,278W
5,Batterie,90%
5,Moteur,220W
4,Batterie,12%
7,Moteur,96W
8,Batterie,77%
7,Moteur,186W
